rating,num_reviews,name,tags,url,ingredients,directions
,,Electric Jam,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=228,"[(u'2', u'Vodka', 'oz.'), (u'1/2', u'Blue Curacao', 'oz.'), (None, u'  Sweet & Sour Mix', None), (None, u'  Lemon-Lime Soda', None)]",Pour vodka and blue curacao into a glass with ice. Fill it with half sweet and sour and half lemon-lime soda.
,,El Salvador,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1201,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'3/4', u'Hazelnut Liqueur', 'oz.'), (u'1/2', u'Lime Juice', 'oz.'), (None, u'Splash of  Grenadine', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,El Presidente Cocktail #1,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=226,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1 1/2', u'Lime Juice', 'oz.'), (u'1/2', u'Pineapple Juice', 'oz.'), (u'1/2', u'Grenadine', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,El Toro,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1276,"[(u'2', u'Vodka', 'oz.'), (u'2', u'Red Bull\xae Energy Drink', 'oz.'), (u'1', u'Cherry Juice', 'oz.')]","Pour the vodka, Red Bull and cherry juice into a glass with ice. Squeeze the lemon and lime into it."
,,El Niño,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1705,"[(u'1 1/2', u'Vodka', 'oz.'), (u'1', u'Peach Schnapps', 'oz.'), (u'1/2', u'Blue Curacao', 'oz.'), (None, u'  Pineapple Juice', None), (None, u'  Orange Juice', None), (None, u'Splash of  Club Soda / Carbonated Water', None)]","Pour vodka, peach schnapps and blue curacao into a glass with ice. Fill it with equal parts of pineapple juice and orange juice. Add the splash of club soda."
,,El Presidente Cocktail #2,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=227,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'3/4', u'Vermouth (Dry)', 'oz.'), (None, u'Dash of  Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Electric Iced Tea,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1563,"[(u'1/2', u'Vodka', 'oz.'), (u'1/2', u'Gin', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1/2', u'Bourbon', 'oz.'), (None, u'  Cola', None), (None, u'Splash of  Sweet & Sour Mix', None)]",Pour all liquors in a glass with ice. Fill it with cola and add the splash of sweet and sour mix.
,,El Floridita,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1704,"[(u'2', u'Rum (Light)', 'oz.'), (u'1/2', u'Vermouth (Sweet)', 'oz.'), (u'1/2', u'Lime Juice', 'oz.'), (None, u'Splash of  Cr\xe8me de Cacao (White)', None), (None, u'Splash of  Grenadine', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,East India Cocktail #1,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=223,"[(u'2', u'Brandy', 'oz.'), (u'1', u'Rum (Dark)', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1/2', u'Pineapple Juice', 'oz.'), (None, u'Dash of  Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,East India Cocktail #2,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=224,"[(u'1 1/2', u'Vermouth (Dry)', 'oz.'), (u'1 1/2', u'Sherry (Dry)', 'oz.'), (None, u'Dash of  Orange Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,El Diablo,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1181,"[(u'1', u'Tequila', 'oz.'), (u'1/2', u'Cr\xe8me de Cassis', 'oz.'), (None, u'Splash of  Lime Juice', None), (None, u'  Ginger Ale', None)]","Pour tequila, crème de cassis and lime juice into a glass with ice. Fill it with ginger ale."
,,Earl Of Sardinia,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2565,"[(u'1 1/2', u'Campari\xae', 'oz.'), (u'1/2', u'Cr\xe8me de Cassis', 'oz.'), (u'3', u'Grapefruit Juice', 'oz.'), (u'1', u'Pineapple Juice', 'oz.'), (None, u'Splash of  Grenadine', None)]",Pour all ingredients into a shaker with ice. Shake and pour into an old-fashioned glass.
,,Dusty Dog,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2433,"[(u'2', u'Vodka', 'oz.'), (u'1/2', u'Cr\xe8me de Cassis', 'oz.'), (u'1/4', u'Lemon Juice', 'oz.'), (None, u'Dash of  Bitters', None), (None, u'  Ginger Ale', None)]","Pour vodka, crème de cassis, lemon juice and bitters into a glass with ice. Fill it with ginger ale."
,,Duval,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2607,"[(u'2', u'Cointreau\xae Orange Liqueur', 'oz.'), (u'1', u'Sambuca', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Dusty Bill,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2484,"[(u'1 1/2', u'Canadian Whisky', 'oz.'), (u'1/2', u'Apple Brandy', 'oz.'), (None, u'Splash of  Brandy', None), (u'1/4', u'Lemon Juice', 'oz.'), (u'1/2', u'Sugar', 'tsp.')]",Pour all ingredients into a shaker with ice. Shake and pour into an old-fashioned glass.
,,Eclipse Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=225,"[(u'2', u'Sloe Gin', 'oz.'), (u'1', u'Gin', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'  Grenadine', None)]",Put a cherry into a chilled martini glass. Cover the cherry with grenadine. Mix the remaining ingredients with ice and strain onto the grenadine.
