rating,num_reviews,name,tags,directions,ingredients
,,Kamora Copper recipe,,Add everything ogether in a chilled champagne glass. ,"[(u'1', u'Kamora\xae coffee liqueur', 'oz'), (u'4', u'Champagne', 'oz'), (u'2', u'lemon juice', 'tsp')]"
,,Kamora Coffee Nut recipe,,"Add Kamora to your cup of hot coffee. Float a puff of whipped cream on top, sprinkle with chopped hazelnuts. ","[(u'1 1/2', u'Kamora\xae coffee liqueur', 'oz'), (u'1', u'coffee', 'cup'), (None, u'1 tspchopped hazelnuts', None), (u'1/2', u'whipped cream', 'oz')]"
,,Kamora Coffee Italiano recipe,,Add liqueurs to your hot cup of coffee. Float a puff of whipped cream on top. ,"[(u'3/4', u'Kamora\xae coffee liqueur', 'oz'), (u'3/4', u'sambuca', 'oz'), (u'1', u'coffee', 'cup'), (u'1/2 - 1', u'whipped cream', 'oz')]"
9.0,1,Kamora Cocoa Dream recipe,,Add Kahlua to a mug of hot chocolate. Float a puff of whipped cream on top. ,"[(u'1', u'Kamora\xae coffee liqueur', 'oz'), (u'8', u'hot chocolate', 'oz'), (u'1/2', u'whipped cream', 'oz')]"
9.0,1,Kamora and Cream recipe,,Add ice to a tumbler and pour the ingredients in. ,"[(u'1', u'Kamora\xae coffee liqueur', 'oz'), (u'4', u'cream', 'oz')]"
,,Kamikazeberry recipe,,"Mix all ingredients except raspberries in a shaker, pour into chilled martini glass with a sugared rim and garnish with raspberries. ","[(u'3', u'Smirnoff\xae Raspberry Twist vodka', 'oz'), (u'1', u'triple sec', 'oz'), (u'1', u'lime juice', 'splash'), (u'1', u'sweet and sour mix', 'splash'), (None, u'3  raspberries', None)]"
,,Kamora & Coffee recipe,,Mix Kamora into your hot cup of coffee. ,"[(u'1', u'Kamora\xae coffee liqueur', 'oz'), (u'8', u'coffee', 'oz')]"
7.8,4,Kamikazini recipe,,Add the vodka and the iced tea to a cocktail shaker. After shaking fill the drink in a cocktail glass. Serve with three green olives on a toothpick.,"[(u'1', u'Danzka\xae grapefruit vodka', 'oz'), (u'3', u'Nestea\xae diet iced tea', 'oz'), (None, u'3 green olives', None)]"
9.8,6,Kamikaze Wigglers recipe,,"Dissolve the jell-o with hot water. Add vodka and triple sec. Pour in plastic shot glasses. Chill until formed, and serve.","[(u'4', u'vodka', 'oz'), (u'4', u'triple sec', 'oz'), (None, u'8 ozhot water', None), (None, u'1 package lime jell-o', None)]"
9.4,14,Kamikaze Version recipe,,Add vodka and mixers to a cocktail glass with ice. Fill with sour mix and shake.,"[(u'3/4', u'vodka', 'oz'), (u'1/4', u'triple sec', 'oz'), (u'1/4', u'Blue Curacao liqueur', 'oz'), (None, u'  sweet and sour mix', None)]"
